[model]
translation_training
[time]
                                          [profile] 0-1         0.04%       7.975ms         3.00%     534.091ms      48.554ms       0.000us         0.00%        1.423s     129.322ms           0 b    -176.05 Kb      80.21 Gb      -2.00 Gb            11  
                                          [profile] 0-0         0.04%       6.294ms         1.76%     313.631ms      28.512ms       0.000us         0.00%     206.282ms      18.753ms           0 b           0 b       6.58 Gb     -80.51 Mb            11  
                                     [profile] 0-1-1-11         0.01%       1.186ms         0.24%      42.799ms       3.891ms       0.000us         0.00%     134.108ms      12.192ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-0         0.01%       1.232ms         0.28%      50.641ms       4.604ms       0.000us         0.00%     124.867ms      11.352ms           0 b           0 b       7.86 Gb           0 b            11  
                                      [profile] 0-1-1-9         0.01%       1.194ms         0.24%      42.628ms       3.875ms       0.000us         0.00%     119.880ms      10.898ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-8         0.01%       1.200ms         0.24%      42.598ms       3.873ms       0.000us         0.00%     119.510ms      10.865ms           0 b           0 b       6.63 Gb           0 b            11  
                                     [profile] 0-1-1-10         0.01%       1.187ms         0.24%      42.652ms       3.877ms       0.000us         0.00%     118.462ms      10.769ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-3         0.01%       1.198ms         0.24%      43.534ms       3.958ms       0.000us         0.00%     115.940ms      10.540ms           0 b           0 b       6.64 Gb           0 b            11  
                                      [profile] 0-1-1-7         0.01%       1.222ms         0.25%      44.114ms       4.010ms       0.000us         0.00%     114.914ms      10.447ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-2         0.01%       1.224ms         0.22%      39.580ms       3.598ms       0.000us         0.00%     114.476ms      10.407ms           0 b           0 b       6.64 Gb           0 b            11  
                                      [profile] 0-1-1-6         0.01%       1.208ms         0.24%      42.379ms       3.853ms       0.000us         0.00%     114.031ms      10.366ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-5         0.01%       1.192ms         0.24%      43.467ms       3.952ms       0.000us         0.00%     113.488ms      10.317ms           0 b           0 b       6.63 Gb           0 b            11  
                                      [profile] 0-1-1-1         0.01%       1.246ms         0.23%      40.580ms       3.689ms       0.000us         0.00%     113.266ms      10.297ms           0 b           0 b       6.64 Gb           0 b            11  
                                      [profile] 0-1-1-4         0.01%       1.242ms         0.24%      42.057ms       3.823ms       0.000us         0.00%     111.995ms      10.181ms           0 b           0 b       6.64 Gb           0 b            11  
                                  [profile] 0-1-1-0-0-0         0.01%     957.000us         0.14%      25.667ms       2.333ms       0.000us         0.00%      63.699ms       5.791ms           0 b           0 b       4.70 Gb    -264.00 Mb            11  
                                [profile] 0-1-1-0-0-0-0         0.03%       4.804ms         0.12%      21.631ms       1.966ms       0.000us         0.00%      59.502ms       5.409ms           0 b           0 b       4.28 Gb      -1.67 Gb            11  
                                 [profile] 0-1-1-10-0-0         0.01%     981.000us         0.10%      17.155ms       1.560ms       0.000us         0.00%      58.793ms       5.345ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-3-0-0         0.01%     948.000us         0.10%      18.370ms       1.670ms       0.000us         0.00%      58.459ms       5.314ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-9-0-0         0.01%     964.000us         0.10%      17.210ms       1.565ms       0.000us         0.00%      58.452ms       5.314ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                               [profile] 0-1-1-10-0-0-0         0.01%       2.506ms         0.07%      12.840ms       1.167ms       0.000us         0.00%      56.176ms       5.107ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                  [profile] 0-1-1-8-0-0         0.01%       1.084ms         0.10%      17.165ms       1.560ms       0.000us         0.00%      56.046ms       5.095ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-2-0-0         0.01%     966.000us         0.08%      15.007ms       1.364ms       0.000us         0.00%      55.984ms       5.089ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                [profile] 0-1-1-3-0-0-0         0.01%       2.496ms         0.08%      14.201ms       1.291ms       0.000us         0.00%      55.945ms       5.086ms           0 b           0 b       3.22 Gb      -1.38 Gb            11  
                                [profile] 0-1-1-9-0-0-0         0.01%       2.511ms         0.07%      12.954ms       1.178ms       0.000us         0.00%      55.467ms       5.042ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                  [profile] 0-1-1-1-0-0         0.01%     975.000us         0.08%      14.551ms       1.323ms       0.000us         0.00%      55.465ms       5.042ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-6-0-0         0.01%     962.000us         0.09%      16.908ms       1.537ms       0.000us         0.00%      55.421ms       5.038ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-7-0-0         0.01%       1.003ms         0.10%      17.166ms       1.561ms       0.000us         0.00%      55.411ms       5.037ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-5-0-0         0.01%     957.000us         0.10%      17.184ms       1.562ms       0.000us         0.00%      55.374ms       5.034ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                 [profile] 0-1-1-11-0-0         0.01%     973.000us         0.10%      17.246ms       1.568ms       0.000us         0.00%      55.148ms       5.013ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-4-0-0         0.01%       1.004ms         0.09%      16.863ms       1.533ms       0.000us         0.00%      54.894ms       4.990ms           0 b           0 b       3.64 Gb    -264.00 Mb            11  
                                [profile] 0-1-1-2-0-0-0         0.01%       2.466ms         0.06%      10.976ms     997.818us       0.000us         0.00%      53.513ms       4.865ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                [profile] 0-1-1-8-0-0-0         0.01%       2.520ms         0.07%      12.825ms       1.166ms       0.000us         0.00%      53.240ms       4.840ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                [profile] 0-1-1-7-0-0-0         0.01%       2.515ms         0.07%      12.797ms       1.163ms       0.000us         0.00%      52.924ms       4.811ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                               [profile] 0-1-1-11-0-0-0         0.01%       2.506ms         0.07%      12.976ms       1.180ms       0.000us         0.00%      52.651ms       4.786ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                [profile] 0-1-1-1-0-0-0         0.01%       2.456ms         0.06%      10.455ms     950.455us       0.000us         0.00%      52.591ms       4.781ms           0 b           0 b       3.22 Gb      -1.38 Gb            11  
                                [profile] 0-1-1-5-0-0-0         0.01%       2.516ms         0.07%      12.968ms       1.179ms       0.000us         0.00%      52.514ms       4.774ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                [profile] 0-1-1-6-0-0-0         0.01%       2.480ms         0.07%      12.629ms       1.148ms       0.000us         0.00%      52.428ms       4.766ms           0 b           0 b       3.22 Gb      -1.38 Gb            11  
                                [profile] 0-1-1-4-0-0-0         0.01%       2.509ms         0.07%      12.634ms       1.149ms       0.000us         0.00%      52.132ms       4.739ms           0 b           0 b       3.22 Gb      -1.29 Gb            11  
                                 [profile] 0-1-1-11-0-2         0.01%     946.000us         0.05%       8.960ms     814.545us       0.000us         0.00%      45.070ms       4.097ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                               [profile] 0-1-1-11-0-2-0         0.01%     951.000us         0.03%       4.794ms     435.818us       0.000us         0.00%      42.330ms       3.848ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                  [profile] 0-1-1-8-0-2         0.01%     977.000us         0.05%       9.111ms     828.273us       0.000us         0.00%      41.118ms       3.738ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-7-0-2         0.01%     956.000us         0.05%       9.097ms     827.000us       0.000us         0.00%      39.993ms       3.636ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-9-0-2         0.01%     930.000us         0.05%       9.033ms     821.182us       0.000us         0.00%      39.970ms       3.634ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-6-0-2         0.01%     933.000us         0.05%       9.017ms     819.727us       0.000us         0.00%      39.572ms       3.597ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-0-0-2         0.01%     920.000us         0.05%       8.192ms     744.727us       0.000us         0.00%      39.398ms       3.582ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-3-0-2         0.01%     950.000us         0.05%       8.911ms     810.091us       0.000us         0.00%      39.297ms       3.572ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-1-0-2         0.01%     944.000us         0.05%       8.176ms     743.273us       0.000us         0.00%      39.213ms       3.565ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-5-0-2         0.01%     957.000us         0.06%       9.979ms     907.182us       0.000us         0.00%      39.167ms       3.561ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                 [profile] 0-1-1-10-0-2         0.01%     928.000us         0.05%       9.045ms     822.273us       0.000us         0.00%      39.153ms       3.559ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-4-0-2         0.01%     957.000us         0.05%       8.902ms     809.273us       0.000us         0.00%      39.097ms       3.554ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-2-0-2         0.01%     920.000us         0.05%       8.710ms     791.818us       0.000us         0.00%      38.995ms       3.545ms           0 b           0 b       1.71 Gb    -264.00 Mb            11  
                                [profile] 0-1-1-9-0-2-0         0.01%     983.000us         0.03%       4.890ms     444.545us       0.000us         0.00%      37.204ms       3.382ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-7-0-2-0         0.01%     988.000us         0.03%       4.864ms     442.182us       0.000us         0.00%      37.018ms       3.365ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-0-0-2-0         0.01%     970.000us         0.02%       4.178ms     379.818us       0.000us         0.00%      36.894ms       3.354ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-6-0-2-0         0.01%     996.000us         0.03%       4.835ms     439.545us       0.000us         0.00%      36.822ms       3.347ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-8-0-2-0         0.01%     967.000us         0.03%       4.895ms     445.000us       0.000us         0.00%      36.599ms       3.327ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-5-0-2-0         0.01%     974.000us         0.03%       5.851ms     531.909us       0.000us         0.00%      36.577ms       3.325ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                               [profile] 0-1-1-10-0-2-0         0.01%     998.000us         0.03%       4.869ms     442.636us       0.000us         0.00%      36.559ms       3.324ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-1-0-2-0         0.01%     944.000us         0.02%       4.178ms     379.818us       0.000us         0.00%      36.506ms       3.319ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-2-0-2-0         0.01%     974.000us         0.03%       4.785ms     435.000us       0.000us         0.00%      36.506ms       3.319ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-3-0-2-0         0.01%     996.000us         0.03%       4.718ms     428.909us       0.000us         0.00%      36.494ms       3.318ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                [profile] 0-1-1-4-0-2-0         0.01%     973.000us         0.03%       4.749ms     431.727us       0.000us         0.00%      36.483ms       3.317ms           0 b           0 b       1.29 Gb    -528.00 Mb            11  
                                 [profile] 0-1-1-11-0-1         0.01%       1.001ms         0.09%      15.407ms       1.401ms       0.000us         0.00%      33.890ms       3.081ms           0 b           0 b       1.28 Gb    -264.00 Mb            11  
                                      [profile] 0-0-1-2         0.00%     838.000us         0.14%      24.058ms       2.187ms       0.000us         0.00%      31.443ms       2.858ms           0 b           0 b     573.27 Mb           0 b            11  
                               [profile] 0-1-1-11-0-1-0         0.01%       2.478ms         0.06%      11.312ms       1.028ms       0.000us         0.00%      30.829ms       2.803ms           0 b           0 b     878.92 Mb    -436.69 Mb            11  
                                  [profile] 0-0-1-2-0-0         0.01%     962.000us         0.08%      15.011ms       1.365ms       0.000us         0.00%      22.564ms       2.051ms           0 b           0 b     274.79 Mb     -48.71 Mb            11  
