GCN_dataset_cora_num_layers_6_4000 9 
TC_batch_32_samples_25000_seed_42 11 0
GAT_dataset_amazon0601_num_layers_8_250 15 0
GCN_dataset_cora_num_layers_5_4000 2 0
TC_batch_32_samples_25000_seed_42 20 0
GraphSAGE_dataset_Yeast_num_layers_5_400 3 0
Bert_batch_20_samples_5000_seed_42 13 0
Roberta_batch_32_samples_8000_seed_42 1 0
T5_batch_7_samples_1500_seed_42 14.5 0
T5_batch_7_samples_1500_seed_42 14.5 0
T5_batch_4_samples_1500_seed_42 14.5 0
TC_batch_32_samples_25000_seed_42 1 0
TC_batch_32_samples_25000_seed_42 1 0
GIN_dataset_citeseer_num_layers_8_2000 8 0
GCN_dataset_cora_num_layers_3_4000 18 0
GIN_dataset_citeseer_num_layers_4_4000 12 0
Roberta_batch_32_samples_8000_seed_42 2 0
TC_batch_8_samples_25000_seed_42 1 0
TC_batch_32_samples_25000_seed_42 1 0
GAT_dataset_amazon0601_num_layers_7_250 1 0
TC_batch_16_samples_25000_seed_42 1 0
Bert_batch_10_samples_5000_seed_42 31.0 0
Bert_batch_30_samples_5000_seed_42 31.0 0
Bert_batch_20_samples_5000_seed_42 31.0 0
Bert_batch_5_samples_5000_seed_42 31.0 0
Roberta_batch_8_samples_8000_seed_42 30.0 0
Roberta_batch_40_samples_8000_seed_42 30.0 0
Roberta_batch_32_samples_8000_seed_42 5.0 0
Roberta_batch_8_samples_8000_seed_42 12.0 0
T5_batch_7_samples_1500_seed_42 12.5 0
GIN_dataset_citeseer_num_layers_3_2000 1 0
TC_batch_40_samples_25000_seed_42 1 0
Bert_batch_5_samples_5000_seed_42 6.5 0
Roberta_batch_16_samples_8000_seed_42 12.0 0
T5_batch_4_samples_1500_seed_42 12.5 0
T5_batch_4_samples_1500_seed_42 10.5 0
Roberta_batch_32_samples_8000_seed_42 5.0 0
TC_batch_40_samples_25000_seed_42 2 0
GraphSAGE_dataset_Yeast_num_layers_5_400 3 0
T5_batch_4_samples_1500_seed_42 10.5 0
Bert_batch_10_samples_5000_seed_42 10.5 0
GAT_dataset_amazon0601_num_layers_7_300 2 0
Roberta_batch_32_samples_8000_seed_42 3 0
T5_batch_7_samples_1500_seed_42 4 0
TC_batch_32_samples_25000_seed_42 5 0
TC_batch_8_samples_25000_seed_42 6 0
Roberta_batch_16_samples_8000_seed_42 7 0
GIN_dataset_citeseer_num_layers_6_2000 8 0
Bert_batch_30_samples_5000_seed_42 10001 0
GIN_dataset_citeseer_num_layers_6_2000 2 0
TC_batch_32_samples_25000_seed_42 4 0
GraphSAGE_dataset_Yeast_num_layers_6_500 4 0
GAT_dataset_amazon0601_num_layers_5_250 5 0
T5_batch_4_samples_1500_seed_42 5 0
Bert_batch_20_samples_5000_seed_42 6 0
Roberta_batch_16_samples_8000_seed_42 7 0
GAT_dataset_amazon0601_num_layers_5_250 16 0
T5_batch_7_samples_1500_seed_42 14 0
GCN_dataset_cora_num_layers_7_4000 4 0
Roberta_batch_32_samples_8000_seed_42 19 0
Roberta_batch_40_samples_8000_seed_42 7 0
GCN_dataset_cora_num_layers_8_4000 8 0
GIN_dataset_citeseer_num_layers_3_4000 6 0
Bert_batch_20_samples_5000_seed_42 6 0
TC_batch_32_samples_25000_seed_42 6 0
GraphSAGE_dataset_Yeast_num_layers_4_400 5 0
Roberta_batch_16_samples_8000_seed_42 5 0
GAT_dataset_amazon0601_num_layers_3_400 17 0
