GCN_dataset_cora_num_layers_6_4000 9 
TC_batch_32_samples_25000_seed_42 11 0
GAT_dataset_amazon0601_num_layers_8_250 15 0
GCN_dataset_cora_num_layers_5_4000 2 0
TC_batch_32_samples_25000_seed_42 20 0
GraphSAGE_dataset_Yeast_num_layers_5_400 3 0
Bert_batch_20_samples_5000_seed_42 13 0
Roberta_batch_32_samples_8000_seed_42 1 40
T5_batch_7_samples_1500_seed_42 14.5 40
T5_batch_7_samples_1500_seed_42 14.5 40
T5_batch_4_samples_1500_seed_42 14.5 40
TC_batch_32_samples_25000_seed_42 1 40
TC_batch_32_samples_25000_seed_42 1 40
GIN_dataset_citeseer_num_layers_8_2000 8 40
GCN_dataset_cora_num_layers_3_4000 18 80
GIN_dataset_citeseer_num_layers_4_4000 12 80
Roberta_batch_32_samples_8000_seed_42 2 80
TC_batch_8_samples_25000_seed_42 1 80
TC_batch_32_samples_25000_seed_42 1 80
GAT_dataset_amazon0601_num_layers_7_250 1 80
TC_batch_16_samples_25000_seed_42 1 80
Bert_batch_10_samples_5000_seed_42 31.0 80
Bert_batch_30_samples_5000_seed_42 31.0 80
Bert_batch_20_samples_5000_seed_42 31.0 80
Bert_batch_5_samples_5000_seed_42 31.0 120
Roberta_batch_8_samples_8000_seed_42 30.0 120
Roberta_batch_40_samples_8000_seed_42 30.0 120
Roberta_batch_32_samples_8000_seed_42 5.0 120
Roberta_batch_8_samples_8000_seed_42 12.0 120
T5_batch_7_samples_1500_seed_42 12.5 120
GIN_dataset_citeseer_num_layers_3_2000 1 120
TC_batch_40_samples_25000_seed_42 1 120
Bert_batch_5_samples_5000_seed_42 6.5 120
Roberta_batch_16_samples_8000_seed_42 12.0 120
T5_batch_4_samples_1500_seed_42 12.5 160
T5_batch_4_samples_1500_seed_42 10.5 160
Roberta_batch_32_samples_8000_seed_42 5.0 160
TC_batch_40_samples_25000_seed_42 2 160
GraphSAGE_dataset_Yeast_num_layers_5_400 3 160
T5_batch_4_samples_1500_seed_42 10.5 160
Bert_batch_10_samples_5000_seed_42 10.5 160
GAT_dataset_amazon0601_num_layers_7_300 2 160
Roberta_batch_32_samples_8000_seed_42 3 160
T5_batch_7_samples_1500_seed_42 4 200
TC_batch_32_samples_25000_seed_42 5 200
TC_batch_8_samples_25000_seed_42 6 200
Roberta_batch_16_samples_8000_seed_42 7 200
GIN_dataset_citeseer_num_layers_6_2000 8 200
Bert_batch_30_samples_5000_seed_42 10001 200
GIN_dataset_citeseer_num_layers_6_2000 2 200
TC_batch_32_samples_25000_seed_42 4 200
GraphSAGE_dataset_Yeast_num_layers_6_500 4 200
GAT_dataset_amazon0601_num_layers_5_250 5 240
T5_batch_4_samples_1500_seed_42 5 240
Bert_batch_20_samples_5000_seed_42 6 240
Roberta_batch_16_samples_8000_seed_42 7 240
GAT_dataset_amazon0601_num_layers_5_250 16 240
T5_batch_7_samples_1500_seed_42 14 240
GCN_dataset_cora_num_layers_7_4000 4 240
Roberta_batch_32_samples_8000_seed_42 19 240
Roberta_batch_40_samples_8000_seed_42 7 240
GCN_dataset_cora_num_layers_8_4000 8 240
GIN_dataset_citeseer_num_layers_3_4000 6 240
Bert_batch_20_samples_5000_seed_42 6 240
TC_batch_32_samples_25000_seed_42 6 280
GraphSAGE_dataset_Yeast_num_layers_4_400 5 280
Roberta_batch_16_samples_8000_seed_42 5 280
GAT_dataset_amazon0601_num_layers_3_400 17 280
